price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,paint_color
2800,2009,nissan,,,gas,109000,rebuilt,automatic,,,
2500,1995,bmw,fair,6 cylinders,gas,110661,clean,automatic,rwd,sedan,white
53000,2006,,,,diesel,160322,clean,automatic,,,
33590,2014,gmc,good,8 cylinders,gas,57923,clean,other,,pickup,white
12500,2008,gmc,excellent,8 cylinders,gas,177326,clean,automatic,rwd,SUV,black
15990,2017,ford,good,,hybrid,48195,clean,other,fwd,wagon,blue
2500,2008,honda,good,6 cylinders,gas,204561,clean,automatic,fwd,sedan,silver
20995,2011,chevrolet,,,,137701,,automatic,4wd,pickup,
25995,2015,chevrolet,,,,151681,,automatic,4wd,pickup,
31995,2014,chevrolet,,,,66738,,automatic,4wd,pickup,
5500,1978,ford,good,8 cylinders,gas,239000,clean,automatic,,truck,green
29000,2005,ford,,,diesel,77124,clean,automatic,,,
27990,2012,gmc,good,8 cylinders,gas,68696,clean,other,4wd,pickup,black
24990,2018,gmc,good,,other,32329,clean,other,,pickup,
10990,2011,mercedes-benz,excellent,6 cylinders,gas,119172,clean,automatic,4wd,SUV,
3300,1999,chrysler,,6 cylinders,gas,162026,clean,automatic,fwd,sedan,
27000,1954,ford,,,gas,6000,clean,manual,,,
27995,2017,ford,,,gas,101000,clean,automatic,4wd,,
8100,2011,ford,excellent,6 cylinders,hybrid,140000,clean,automatic,fwd,SUV,white
20000,1979,chevrolet,like new,8 cylinders,gas,1234,clean,automatic,rwd,,black
3999,2003,infiniti,,6 cylinders,gas,233830,clean,automatic,rwd,sedan,
0,2019,chevrolet,excellent,8 cylinders,gas,25127,clean,automatic,4wd,truck,red
23500,1970,chevrolet,excellent,,gas,18678,clean,automatic,,,
5300,2009,jeep,excellent,6 cylinders,gas,178000,clean,automatic,4wd,,
0,2014,,,,diesel,100,clean,automatic,,,
45900,2017,,,6 cylinders,gas,36083,clean,automatic,,SUV,white
0,2017,chevrolet,like new,8 cylinders,diesel,102000,clean,automatic,4wd,truck,silver
5500,1974,mercedes-benz,good,4 cylinders,gas,9999,clean,automatic,rwd,convertible,yellow
3500,1996,chevrolet,excellent,8 cylinders,gas,237000,clean,automatic,4wd,offroad,black
16902,2020,toyota,,,gas,11692,clean,automatic,fwd,,black
12307,2018,kia,,,gas,95056,clean,automatic,fwd,,red
37500,2018,ford,,,gas,30026,clean,automatic,4wd,,blue
21688,2020,nissan,,,gas,7575,clean,automatic,fwd,,
29990,2016,chevrolet,good,6 cylinders,gas,17302,clean,other,4wd,pickup,red
35590,2010,chevrolet,good,8 cylinders,gas,31879,clean,other,rwd,other,red
18977,2017,kia,,,gas,70014,clean,automatic,fwd,,
6877,2007,nissan,,,gas,155471,clean,automatic,rwd,,
500,2021,,fair,other,other,1400,clean,other,,bus,green
12500,2015,volkswagen,excellent,,diesel,101000,clean,automatic,,,white
27998,2008,porsche,,6 cylinders,gas,69505,clean,automatic,rwd,coupe,black
0,2015,mercedes-benz,,8 cylinders,gas,78807,clean,automatic,4wd,sedan,grey
6800,2004,mercedes-benz,good,6 cylinders,gas,116700,clean,automatic,rwd,convertible,silver
45000,2017,chevrolet,excellent,8 cylinders,gas,92000,clean,automatic,4wd,truck,red
2550,2004,cadillac,,6 cylinders,gas,224105,clean,automatic,rwd,SUV,white
12500,2015,ford,like new,,gas,90000,clean,automatic,fwd,,white
